species_id,common_name,scientific_name,red_list_category,population_trend,population_estimate_text,year_assessed,primary_range_region
1,Blue-throated Macaw,Ara glaucogularis,Critically Endangered,Decreasing,very small population,2022,Bolivia
2,Red-fronted Macaw,Ara rubrogenys,Critically Endangered,Decreasing,600-800 individuals,2022,Bolivia
3,Scarlet Macaw,Least Concern,Least Concern,Decreasing,50000-499999,2022,Central and South America
